FIPS,NAME,QNAME,STATE,Geo_SUMLEV,Geo_LOGRECNO,REGION,DIVISION,STATEFIPS,Geo_CBSA,CBSA_Sizecode,CSA,Geo_AREALAND,Geo_AREAWATR,HousUnit,Geo_INTPTLAT,Geo_INTPTLON,Geo_LSADC,Geo_PARTFLAG,Geo_STATENS,Geo_CSASC,Geo_MEMI,TotPop,White,Black,AIAN,Asian,NHPI,Latinx,NatB,FB
3733980,"Morehead City, NC Micro Area","Morehead City, North Carolina",NC,320,360091,3,5,37,33980,17,999,1311185243,2161018307,48179,34.7480196,-76.7465817,M2,W,1027616,0,2,66469,58101,3986,283,576,63,2241,64185,2230
3734340,"Mount Airy, NC Micro Area","Mount Airy, North Carolina",NC,320,360094,3,5,37,34340,17,268,1378304182,10715854,33667,36.4224039,-80.6755436,M2,W,1027616,21,2,73673,62611,2644,173,339,9,7155,69519,4032
3735100,"New Bern, NC Micro Area","New Bern, North Carolina",NC,320,360097,3,5,37,35100,18,999,3926947933,771618500,57374,35.075205,-77.036833,M2,W,1027616,0,2,126802,85470,28762,543,2138,118,7082,120501,5692
3735900,"North Wilkesboro, NC Micro Area","North Wilkesboro, North Carolina",NC,320,360102,3,5,37,35900,17,999,1953571382,6843251,33065,36.1888996,-81.1466226,M2,W,1027616,0,2,69340,61587,2785,110,295,15,3772,66967,2298
3739580,"Raleigh-Cary, NC Metro Area","Raleigh-Cary, North Carolina",NC,320,360105,3,5,37,39580,21,450,5486112667,75432229,466095,35.7672769,-78.5806696,M1,W,1027616,21,1,1130490,716883,223870,3479,49535,355,114512,1002501,132664
3740260,"Roanoke Rapids, NC Micro Area","Roanoke Rapids, North Carolina",NC,320,360111,3,5,37,40260,17,999,3265132906,54672547,37455,36.3578983,-77.6054039,M2,W,1027616,0,2,76790,30165,41833,2098,395,9,1457,75409,1243
3740460,"Rockingham, NC Micro Area","Rockingham, North Carolina",NC,320,360115,3,5,37,40460,16,999,1227191624,15790811,20738,34.9552661,-79.7466403,M2,W,1027616,0,2,46639,27369,14159,1069,419,15,2741,44649,1959
3740580,"Rocky Mount, NC Metro Area","Rocky Mount, North Carolina",NC,320,360118,3,5,37,40580,18,999,2708461160,9520326,67124,35.9368956,-77.8103868,M1,W,1027616,0,1,152392,73130,67767,695,826,24,8119,145904,5894
3741580,"Salisbury, NC Micro Area","Salisbury, North Carolina",NC,320,360122,3,5,37,41580,18,172,1324451332,31989769,60211,35.6173391,-80.515912,M2,W,1027616,21,2,138428,101986,22153,376,1353,44,10644,130758,7431
3741820,"Sanford, NC Micro Area","Sanford, North Carolina",NC,320,360125,3,5,37,41820,17,999,660341698,10576667,24136,35.4723141,-79.1708802,M2,W,1027616,0,2,57866,34321,11369,253,475,13,10576,51095,6781
3743140,"Shelby, NC Micro Area","Shelby, North Carolina",NC,320,360128,3,5,37,43140,17,172,1202408392,10356247,43373,35.30293,-81.5358159,M2,W,1027616,21,2,98078,72793,20237,193,735,22,2756,95847,2043
3743860,"Southern Pines-Pinehurst, NC Micro Area","Southern Pines-Pinehurst, North Carolina",NC,320,360131,3,5,37,43860,17,999,1807404472,20746101,43940,35.2395857,-79.4364364,M2,W,1027616,0,2,88247,68487,11727,689,736,25,5261,83473,4841
